account_id,name,category,category_id_maxweb,commissionplanname,commissionplantype,avg_ltv,avg_payout,epc_alltime,conversion_rate_alltime,refundrate_alltime,visitors_alltime,trending,negative_score,positive_score,flag_approved,auto_approve,company_website,product_image,codename,rr_record_id,cartproductname,resources_link,restrictions_link,manage_link
11619,Stinger Red Dot,Survival,270,"0% Frontend, 0% Backend",backend,79,75,1.51,2.01,0,4423,0.17,0,0,2,0,https://www.surviveinsight.com/stinger-sights,https://cdn.softwareprojects.com/productimages/11619/3/s_i_ge_s_9muv_jpg_resized160.jpg,stinger_red_dot,3,Stinger Red Dot,https://affiliates-backoffice.maxweb.com/app#resources/11619/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11619/Stinger%20Red%20Dot,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11619/Stinger%20Red%20Dot
11618,Kerassentials DE,Fungus,390,"0% Frontend, 0% Backend",backend,69,90,1.89,2.1,0,26,0,0,0,2,0,https://kerassentials24.com.de/video.php,https://cdn.softwareprojects.com/productimages/11618/3/i_oduc_i_g_ke_asse_ials_ewcomgho_p_g_resized160.png,kerassentials_de,3,Kerassentials DE,https://affiliates-backoffice.maxweb.com/app#resources/11618/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11618/Kerassentials%20DE,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11618/Kerassentials%20DE
11610,Thyrafemme Balance,Health Supplement,282,"0% Frontend, 0% Backend",backend,79,125,2.58,2.07,0,22126,1.77,0,0,2,0,https://trythyrafemme.com/emodiv/,https://cdn.softwareprojects.com/productimages/11610/3/i_dex_he_o_imgb_x_mw_p_g_resized160.png,thyrafemme_balance,3,Thyrafemme Balance,https://affiliates-backoffice.maxweb.com/app#resources/11610/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11610/Thyrafemme%20Balance,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11610/Thyrafemme%20Balance
11603,Vertigenics,Vision,402,"0% Frontend, 0% Backend",backend,69,98,1.68,1.43,0,110616,0.41,0,0,2,0,https://thevertigenics.com/video.php,https://cdn.softwareprojects.com/productimages/11603/2/ve_ige_icsahj_65_p_g_resized160.png,vertigenics,2,Vertigenics,https://affiliates-backoffice.maxweb.com/app#resources/11603/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11603/Vertigenics,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11603/Vertigenics
11599,Hypoburn,Weight Loss,382,"0% Frontend, 0% Backend",backend,69,118,1.42,1.2,0,4726,0.72,0,0,2,1,https://hypo-burn.com/vsl.html,https://cdn.softwareprojects.com/productimages/11599/2/1_bo_lejhp572_p_g_resized160.png,hypoburn,2,Hypoburn,https://affiliates-backoffice.maxweb.com/app#resources/11599/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11599/Hypoburn,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11599/Hypoburn
11594,Royal Bee Pollen,Skin/Beauty and Anti-Aging,294,"0% Frontend, 0% Backend",backend,49,110,2,1.82,0,21472,4.9,0,0,2,0,https://royalbeepollen.com/st/st.php,https://cdn.softwareprojects.com/productimages/11594/2/_oyalbeekqucok_p_g_resized160.png,royal_bee_pollen,2,Royal Bee Pollen,https://affiliates-backoffice.maxweb.com/app#resources/11594/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11594/Royal%20Bee%20Pollen,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11594/Royal%20Bee%20Pollen
11592,SharpVision,Vision,402,"0% Frontend, 0% Backend",backend,79,138,2.92,2.11,0,109555,35,0,0,2,0,https://www.trysharpvision.com/vsl-bg,https://cdn.softwareprojects.com/productimages/11592/2/sha_pvisio_jbdocq_p_g_resized160.png,sharpvision,2,SharpVision,https://affiliates-backoffice.maxweb.com/app#resources/11592/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11592/SharpVision,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11592/SharpVision
11591,Ignitra,Weight Loss,382,"0% Frontend, 0% Backend",backend,79,170,3.49,2.05,0,48383,11.45,0,0,2,0,https://getignitra.com/,https://cdn.softwareprojects.com/productimages/11591/2/ig_i_agigfiy_p_g_resized160.png,ignitra,2,Ignitra,https://affiliates-backoffice.maxweb.com/app#resources/11591/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11591/Ignitra,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11591/Ignitra
11585,IceCasino RegForm,iGaming/Casino,470,"0% Frontend, 0% Backend",backend,0,165,2.5,18,0,12,0,0,0,2,0,https://iceredirect.com/,https://cdn.softwareprojects.com/productimages/11585/2/icecasi_o_logoyma4i5_p_g_resized160.png,icecasino_regform,2,IceCasino RegForm,,,
11582,Stay Casino CA,General,222,"0% Frontend, 0% Backend",backend,0,475,1,1,0,575,0.01,0,0,2,0,https://www.staycasino.com/users/sign_up,https://cdn.softwareprojects.com/productimages/11582/2/logo_imagelhcm8s_p_g_resized160.png,stay_casino_ca,2,Stay Casino CA,,,
11567,Tikitaka Casino,iGaming/Casino,470,"0% Frontend, 0% Backend",backend,0,350,1,1,0,696,0,0,0,2,0,https://rzu8p2ywj.com/ca/registration,https://cdn.softwareprojects.com/productimages/11567/2/_iki_akaoqc98b_p_g_resized160.png,tikitaka_casino,2,Tikitaka Casino,,,
11555,Smart Blood Sugar Masterclass,Health Digital,246,"0% Frontend, 0% Backend",backend,47,45,0.45,1,0,4134,0.09,0,0,2,0,https://www.fastbloodsugarblueprint.com/video_sbs_mc_a1_fs,https://cdn.softwareprojects.com/productimages/11555/2/1745842005908_sbs_mc_checkou_q2qhz_jpg_resized160.jpg,smart_blood_sugar_masterclass,2,Smart Blood Sugar Masterclass,https://affiliates-backoffice.maxweb.com/app#resources/11555/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11555/Smart%20Blood%20Sugar%20Masterclass,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11555/Smart%20Blood%20Sugar%20Masterclass
11554,BioCal,Health Supplement,282,"0% Frontend, 0% Backend",backend,49.99,110,1.17,1.07,0,7633,0.56,0,0,2,0,https://www.fastboneblueprint.com/video_bc_cal_nhc_mon,https://cdn.softwareprojects.com/productimages/11554/2/sec6_p_oduc_sid_ceq_p_g_resized160.png,biocal,2,BioCal,https://affiliates-backoffice.maxweb.com/app#resources/11554/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11554/BioCal,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11554/BioCal
11553,Advanced Nerve Support,Nerve Health,398,"0% Frontend, 0% Backend",backend,49.99,70,0.74,1.05,0,2397,1.12,0,0,2,0,https://www.fastnerveblueprint.com/video_ans_mg_nhc_mon,https://cdn.softwareprojects.com/productimages/11553/2/1_pack0ls55w_p_g_resized160.png,advanced_nerve_support,2,Advanced Nerve Support,https://affiliates-backoffice.maxweb.com/app#resources/11553/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11553/Advanced%20Nerve%20Support,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11553/Advanced%20Nerve%20Support
11552,Ryoko PRO Unlimited Data,Ecomm,262,"0% Frontend, 0% Backend",backend,49,77,1.69,2.2,0,9349,1.86,0,0,2,0,https://ryokorouter.com/article/ryoko-isp-genius-device-aff,https://cdn.softwareprojects.com/productimages/11552/2/limi_ed_ime_p_oduc_v1kzpcbe_p_g_resized160.png,ryoko_pro_unlimited_data,2,Ryoko PRO Unlimited Data,https://affiliates-backoffice.maxweb.com/app#resources/11552/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11552/Ryoko%20PRO%20Unlimited%20Data,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11552/Ryoko%20PRO%20Unlimited%20Data
11547,SlimBliss,Weight Loss,382,"0% Frontend, 0% Backend",backend,59,80,0.88,1.01,0,7869,2.65,0,0,2,0,https://getslimbliss.com/go/indexnoaffprog.php,https://cdn.softwareprojects.com/productimages/11547/3/slimblissdlpzs_p_g_resized160.png,slimbliss,3,SlimBliss,https://affiliates-backoffice.maxweb.com/app#resources/11547/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11547/SlimBliss,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11547/SlimBliss
11538,Sciaticyl,Nerve Health,398,"0% Frontend, 0% Backend",backend,69,137,2.49,1.82,0,260520,13.98,0,0,2,0,https://www.sciaticasupport.com/pages/ss1/index.php,https://cdn.softwareprojects.com/productimages/11538/2/sciaci_yl_1b_ls0b7qh_p_g_resized160.png,sciaticyl,2,Sciaticyl,https://affiliates-backoffice.maxweb.com/app#resources/11538/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11538/Sciaticyl,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11538/Sciaticyl
11522,Vigorlong TSL,Men's Health,370,"0% Frontend, 0% Backend",backend,89,140,2.66,1.9,0,58828,10.23,0,0,2,0,https://vigorlong.com/,https://cdn.softwareprojects.com/productimages/11522/2/p_odx1eluemv_p_g_resized160.png,vigorlong_tsl,2,Vigorlong TSL,https://affiliates-backoffice.maxweb.com/app#resources/11522/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11522/Vigorlong%20TSL,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11522/Vigorlong%20TSL
11514,Trimology,Weight Loss,382,"0% Frontend, 0% Backend",backend,69,120,4.76,3.4,0,446261,33.62,0,0,2,1,,https://cdn.softwareprojects.com/productimages/11514/2/_imologyweigh_glp_1bala_ce_mockup1wslzoi_p_g_resized160.png,trimology,2,Trimology,https://affiliates-backoffice.maxweb.com/app#resources/11514/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11514/Trimology,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11514/Trimology
11510,Rose Grail,General,222,"0% Frontend, 0% Backend",backend,47,38,0.4,1.05,0,74,0.01,0,0,2,0,https://rosegrailprayer.com/go/indexvsa.php,https://cdn.softwareprojects.com/productimages/11510/2/de6d8c89_c633_4f93_b737_102063ae0a9ce3_v_p_g_resized160.png,rose_grail,2,Rose Grail,https://affiliates-backoffice.maxweb.com/app#resources/11510/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11510/Rose%20Grail,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11510/Rose%20Grail
11448,Synoshi PRO,Ecomm,262,"0% Frontend, 0% Backend",backend,73.9,47,0.75,1.6,0,39020,1.24,0,0,2,0,https://get-synoshi.com/synoshi-pro,https://cdn.softwareprojects.com/productimages/11448/2/sma_desig_p_oduc_ph4_p_g_resized160.png,synoshi_pro,2,Synoshi PRO,https://affiliates-backoffice.maxweb.com/app#resources/11448/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11448/Synoshi%20PRO,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11448/Synoshi%20PRO
